Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh),ELECTRICITY NEEDED,EXCESS SOLAR,BATTERY LEVELS,ELECTRICITY PROVIDE BY BAT,ELECTRICT BILL LESS BAT
9,13 05 2020 09:00,2.1210000 ,1.3560000 ,0.0000000 ,0.765,1.317,0.0000000 ,0.0000000 
10,13 05 2020 10:00,3.3600000 ,0.8310000 ,0.0000000 ,2.529,3.846,0.0000000 ,0.0000000 
11,13 05 2020 11:00,8.1960000 ,0.5070000 ,0.0000000 ,7.689,11.535,0.0000000 ,0.0000000 
12,13 05 2020 12:00,3.0330000 ,5.8380000 ,2.8050000 ,0,8.73,2.8050000 ,0.0000000 
13,13 05 2020 13:00,6.7170000 ,1.0230000 ,0.0000000 ,5.694,12.5,0.0000000 ,0.0000000 
14,13 05 2020 14:00,4.9770000 ,0.6240000 ,0.0000000 ,4.353,12.5,0.0000000 ,0.0000000 
15,13 05 2020 15:00,3.7890000 ,0.6000000 ,0.0000000 ,3.189,12.5,0.0000000 ,0.0000000 
16,13 05 2020 16:00,2.5110000 ,0.1560000 ,0.0000000 ,2.355,12.5,0.0000000 ,0.0000000 
17,13 05 2020 17:00,1.3650000 ,0.3240000 ,0.0000000 ,1.041,12.5,0.0000000 ,0.0000000 
18,13 05 2020 18:00,0.4680000 ,0.7656000 ,0.2976000 ,0,12.2024,0.2976000 ,-0.0000000 
19,13 05 2020 19:00,0.3480000 ,2.7060000 ,2.3580000 ,0,9.8444,2.3580000 ,0.0000000 
20,13 05 2020 20:00,0.0120000 ,2.2968000 ,2.2848000 ,0,7.5596,2.2848000 ,0.0000000 
21,13 05 2020 21:00,0.0000000 ,1.0410000 ,1.0410000 ,0,6.5186,1.0410000 ,0.0000000 
22,13 05 2020 22:00,0.0210000 ,1.4970000 ,1.4760000 ,0,5.0426,1.4760000 ,0.0000000 
23,13 05 2020 23:00,0.0000000 ,0.7619238 ,0.7619238 ,0,4.2806762,0.7619238 ,0.0000000 
0,14 05 2020 00:00,0.0000000 ,0.9899010 ,0.9899010 ,0,3.2907752,0.9899010 ,0.0000000 
1,14 05 2020 01:00,0.0000000 ,1.0558944 ,1.0558944 ,0,2.2348808,1.0558944 ,0.0000000 
2,14 05 2020 02:00,0.0000000 ,0.3059694 ,0.3059694 ,0,1.9289114,0.3059694 ,0.0000000 
3,14 05 2020 03:00,0.0000000 ,0.3270000 ,0.3270000 ,0,1.6019114,0.3270000 ,0.0000000 
4,14 05 2020 04:00,0.0150000 ,0.3540000 ,0.3390000 ,0,1.2629114,0.3390000 ,0.0000000 
5,14 05 2020 05:00,0.2490000 ,0.3630000 ,0.1140000 ,0,1.1489114,0.1140000 ,0.0000000 
6,14 05 2020 06:00,1.1580000 ,0.5970000 ,0.0000000 ,0.561,1.7099114,0.0000000 ,0.0000000 
7,14 05 2020 07:00,3.0240000 ,0.3090000 ,0.0000000 ,2.715,4.4249114,0.0000000 ,0.0000000 
8,14 05 2020 08:00,5.7720000 ,0.1380000 ,0.0000000 ,5.634,10.0589114,0.0000000 ,0.0000000 
9,14 05 2020 09:00,3.4500000 ,0.2190000 ,0.0000000 ,3.231,12.5,0.0000000 ,0.0000000 
10,14 05 2020 10:00,4.3320000 ,0.5700000 ,0.0000000 ,3.762,12.5,0.0000000 ,0.0000000 
11,14 05 2020 11:00,4.7640000 ,0.2790000 ,0.0000000 ,4.485,12.5,0.0000000 ,0.0000000 
12,14 05 2020 12:00,1.9290000 ,0.3810000 ,0.0000000 ,1.548,12.5,0.0000000 ,0.0000000 
13,14 05 2020 13:00,5.0310000 ,0.5100000 ,0.0000000 ,4.521,12.5,0.0000000 ,0.0000000 
14,14 05 2020 14:00,6.4860000 ,0.1230000 ,0.0000000 ,6.363,12.5,0.0000000 ,0.0000000 
15,14 05 2020 15:00,4.3590000 ,0.3240000 ,0.0000000 ,4.035,12.5,0.0000000 ,0.0000000 
16,14 05 2020 16:00,2.3790000 ,0.2850000 ,0.0000000 ,2.094,12.5,0.0000000 ,0.0000000 
17,14 05 2020 17:00,1.1970000 ,0.5580000 ,0.0000000 ,0.639,12.5,0.0000000 ,0.0000000 
18,14 05 2020 18:00,0.5040000 ,12.8040000 ,12.3000000 ,0,0.2,12.3000000 ,0.0000000 
19,14 05 2020 19:00,0.1590000 ,2.3496000 ,2.1906000 ,0,0,0.2000000 ,1.9906000 
20,14 05 2020 20:00,0.0150000 ,3.6234000 ,3.6084000 ,0,0,0.0000000 ,3.6084000 
21,14 05 2020 21:00,0.0120000 ,25.0200000 ,25.0080000 ,0,0,0.0000000 ,25.0080000 
22,14 05 2020 22:00,0.0120000 ,1.0890000 ,1.0770000 ,0,0,0.0000000 ,1.0770000 
23,14 05 2020 23:00,0.0000000 ,0.5579442 ,0.5579442 ,0,0,0.0000000 ,0.5579442 
0,15 05 2020 00:00,0.0000000 ,0.9630000 ,0.9630000 ,0,0,0.0000000 ,0.9630000 
1,15 05 2020 01:00,0.0000000 ,1.0718928 ,1.0718928 ,0,0,0.0000000 ,1.0718928 
2,15 05 2020 02:00,0.0000000 ,0.3019698 ,0.3019698 ,0,0,0.0000000 ,0.3019698 
3,15 05 2020 03:00,0.0000000 ,0.1950000 ,0.1950000 ,0,0,0.0000000 ,0.1950000 
4,15 05 2020 04:00,0.0090000 ,0.2190000 ,0.2100000 ,0,0,0.0000000 ,0.2100000 
5,15 05 2020 05:00,0.4320000 ,0.2520000 ,0.0000000 ,0.18,0.18,0.0000000 ,0.0000000 
6,15 05 2020 06:00,1.0320000 ,0.5130000 ,0.0000000 ,0.519,0.699,0.0000000 ,0.0000000 
7,15 05 2020 07:00,3.8490000 ,0.4020000 ,0.0000000 ,3.447,4.146,0.0000000 ,0.0000000 
8,15 05 2020 08:00,5.6850000 ,0.2190000 ,0.0000000 ,5.466,9.612,0.0000000 ,0.0000000 
9,15 05 2020 09:00,7.1430000 ,0.0480000 ,0.0000000 ,7.095,12.5,0.0000000 ,0.0000000 
10,15 05 2020 10:00,7.8420000 ,0.0000000 ,0.0000000 ,7.842,12.5,0.0000000 ,0.0000000 
11,15 05 2020 11:00,8.4690000 ,0.1290000 ,0.0000000 ,8.34,12.5,0.0000000 ,0.0000000 
12,15 05 2020 12:00,7.9500000 ,0.0000000 ,0.0000000 ,7.95,12.5,0.0000000 ,0.0000000 
13,15 05 2020 13:00,7.4220000 ,0.0240000 ,0.0000000 ,7.398,12.5,0.0000000 ,0.0000000 
14,15 05 2020 14:00,6.3450000 ,0.3870000 ,0.0000000 ,5.958,12.5,0.0000000 ,0.0000000 
15,15 05 2020 15:00,4.5840000 ,0.3840000 ,0.0000000 ,4.2,12.5,0.0000000 ,0.0000000 
16,15 05 2020 16:00,2.3820000 ,8.2830000 ,5.9010000 ,0,6.599,5.9010000 ,0.0000000 
17,15 05 2020 17:00,0.6480000 ,0.9030000 ,0.2550000 ,0,6.344,0.2550000 ,0.0000000 
18,15 05 2020 18:00,0.3570000 ,2.5608000 ,2.2038000 ,0,4.1402,2.2038000 ,0.0000000 
19,15 05 2020 19:00,0.1680000 ,1.4388000 ,1.2708000 ,0,2.8694,1.2708000 ,0.0000000 
20,15 05 2020 20:00,0.0390000 ,2.9436000 ,2.9046000 ,0,0,2.8694000 ,0.0352000 
21,15 05 2020 21:00,0.0270000 ,1.6500000 ,1.6230000 ,0,0,0.0000000 ,1.6230000 
22,15 05 2020 22:00,0.0060000 ,2.0550000 ,2.0490000 ,0,0,0.0000000 ,2.0490000 
23,15 05 2020 23:00,0.0000000 ,0.6799320 ,0.6799320 ,0,0,0.0000000 ,0.6799320 
0,16 05 2020 00:00,0.0000000 ,0.2419758 ,0.2419758 ,0,0,0.0000000 ,0.2419758 
1,16 05 2020 01:00,0.0000000 ,0.3719628 ,0.3719628 ,0,0,0.0000000 ,0.3719628 
2,16 05 2020 02:00,0.0000000 ,0.1319868 ,0.1319868 ,0,0,0.0000000 ,0.1319868 
3,16 05 2020 03:00,0.0000000 ,0.2340000 ,0.2340000 ,0,0,0.0000000 ,0.2340000 
4,16 05 2020 04:00,0.0000000 ,0.4680000 ,0.4680000 ,0,0,0.0000000 ,0.4680000 
5,16 05 2020 05:00,0.4080000 ,0.4200000 ,0.0120000 ,0,0,0.0000000 ,0.0120000 
6,16 05 2020 06:00,0.7980000 ,0.3120000 ,0.0000000 ,0.486,0.486,0.0000000 ,0.0000000 
7,16 05 2020 07:00,0.6060000 ,1.8030000 ,1.1970000 ,0,0,0.4860000 ,0.7110000 
8,16 05 2020 08:00,1.6260000 ,1.9500000 ,0.3240000 ,0,0,0.0000000 ,0.3240000 
9,16 05 2020 09:00,4.0170000 ,1.7550000 ,0.0000000 ,2.262,2.262,0.0000000 ,0.0000000 
10,16 05 2020 10:00,6.2220000 ,0.3180000 ,0.0000000 ,5.904,8.166,0.0000000 ,0.0000000 
11,16 05 2020 11:00,5.0340000 ,0.3240000 ,0.0000000 ,4.71,12.5,0.0000000 ,0.0000000 
12,16 05 2020 12:00,5.1660000 ,0.3330000 ,0.0000000 ,4.833,12.5,0.0000000 ,0.0000000 
13,16 05 2020 13:00,1.8870000 ,0.2280000 ,0.0000000 ,1.659,12.5,0.0000000 ,0.0000000 
14,16 05 2020 14:00,1.5090000 ,0.4380000 ,0.0000000 ,1.071,12.5,0.0000000 ,0.0000000 
15,16 05 2020 15:00,1.3050000 ,24.9540000 ,23.6490000 ,0,0,12.5000000 ,11.1490000 
16,16 05 2020 16:00,2.8830000 ,0.2490000 ,0.0000000 ,2.634,2.634,0.0000000 ,0.0000000 
17,16 05 2020 17:00,1.4220000 ,0.2220000 ,0.0000000 ,1.2,3.834,0.0000000 ,0.0000000 
18,16 05 2020 18:00,0.6420000 ,1.1880000 ,0.5460000 ,0,3.288,0.5460000 ,0.0000000 
19,16 05 2020 19:00,0.2880000 ,1.3200000 ,1.0320000 ,0,2.256,1.0320000 ,0.0000000 
20,16 05 2020 20:00,0.0360000 ,2.6532000 ,2.6172000 ,0,0,2.2560000 ,0.3612000 
21,16 05 2020 21:00,0.0120000 ,1.8360000 ,1.8240000 ,0,0,0.0000000 ,1.8240000 
22,16 05 2020 22:00,0.0060000 ,1.8840000 ,1.8780000 ,0,0,0.0000000 ,1.8780000 
23,16 05 2020 23:00,0.0000000 ,0.8419158 ,0.8419158 ,0,0,0.0000000 ,0.8419158 
0,17 05 2020 00:00,0.0000000 ,1.0818918 ,1.0818918 ,0,0,0.0000000 ,1.0818918 
1,17 05 2020 01:00,0.0000000 ,0.2259774 ,0.2259774 ,0,0,0.0000000 ,0.2259774 
2,17 05 2020 02:00,0.0000000 ,0.2079792 ,0.2079792 ,0,0,0.0000000 ,0.2079792 
3,17 05 2020 03:00,0.0000000 ,0.4500000 ,0.4500000 ,0,0,0.0000000 ,0.4500000 
4,17 05 2020 04:00,0.0150000 ,0.2340000 ,0.2190000 ,0,0,0.0000000 ,0.2190000 
5,17 05 2020 05:00,0.3060000 ,0.2400000 ,0.0000000 ,0.066,0.066,0.0000000 ,0.0000000 
6,17 05 2020 06:00,1.4040000 ,0.5040000 ,0.0000000 ,0.9,0.966,0.0000000 ,0.0000000 
7,17 05 2020 07:00,3.9390000 ,0.6990000 ,0.0000000 ,3.24,4.206,0.0000000 ,0.0000000 
8,17 05 2020 08:00,7.2090000 ,0.6390000 ,0.0000000 ,6.57,10.776,0.0000000 ,0.0000000 
9,17 05 2020 09:00,7.5120000 ,0.2070000 ,0.0000000 ,7.305,12.5,0.0000000 ,0.0000000 
10,17 05 2020 10:00,8.3040000 ,0.1350000 ,0.0000000 ,8.169,12.5,0.0000000 ,0.0000000 
11,17 05 2020 11:00,9.1020000 ,0.0630000 ,0.0000000 ,9.039,12.5,0.0000000 ,0.0000000 
12,17 05 2020 12:00,8.8860000 ,0.0000000 ,0.0000000 ,8.886,12.5,0.0000000 ,0.0000000 
13,17 05 2020 13:00,7.7730000 ,0.0330000 ,0.0000000 ,7.74,12.5,0.0000000 ,0.0000000 
14,17 05 2020 14:00,6.4860000 ,0.2010000 ,0.0000000 ,6.285,12.5,0.0000000 ,0.0000000 
15,17 05 2020 15:00,4.6710000 ,0.0810000 ,0.0000000 ,4.59,12.5,0.0000000 ,0.0000000 
16,17 05 2020 16:00,2.4420000 ,0.1770000 ,0.0000000 ,2.265,12.5,0.0000000 ,0.0000000 
17,17 05 2020 17:00,0.6750000 ,1.1010000 ,0.4260000 ,0,12.074,0.4260000 ,0.0000000 
18,17 05 2020 18:00,0.3540000 ,1.2606000 ,0.9066000 ,0,11.1674,0.9066000 ,0.0000000 
19,17 05 2020 19:00,0.1920000 ,1.0890000 ,0.8970000 ,0,10.2704,0.8970000 ,0.0000000 
20,17 05 2020 20:00,0.0240000 ,2.5476000 ,2.5236000 ,0,7.7468,2.5236000 ,0.0000000 
21,17 05 2020 21:00,0.0150000 ,1.4730000 ,1.4580000 ,0,6.2888,1.4580000 ,0.0000000 
22,17 05 2020 22:00,0.0120000 ,1.3740000 ,1.3620000 ,0,4.9268,1.3620000 ,0.0000000 
23,17 05 2020 23:00,0.0000000 ,0.7459254 ,0.7459254 ,0,4.1808746,0.7459254 ,0.0000000 
0,18 05 2020 00:00,0.0000000 ,0.8959104 ,0.8959104 ,0,3.2849642,0.8959104 ,0.0000000 
1,18 05 2020 01:00,0.0000000 ,1.0458954 ,1.0458954 ,0,2.2390688,1.0458954 ,0.0000000 
2,18 05 2020 02:00,0.0000000 ,0.1359864 ,0.1359864 ,0,2.1030824,0.1359864 ,0.0000000 
3,18 05 2020 03:00,0.0000000 ,0.3240000 ,0.3240000 ,0,1.7790824,0.3240000 ,0.0000000 
4,18 05 2020 04:00,0.0030000 ,0.3210000 ,0.3180000 ,0,1.4610824,0.3180000 ,0.0000000 
5,18 05 2020 05:00,0.2520000 ,0.5160000 ,0.2640000 ,0,1.1970824,0.2640000 ,0.0000000 
6,18 05 2020 06:00,0.8310000 ,0.5100000 ,0.0000000 ,0.321,1.5180824,0.0000000 ,0.0000000 
7,18 05 2020 07:00,1.9740000 ,0.2010000 ,0.0000000 ,1.773,3.2910824,0.0000000 ,0.0000000 
8,18 05 2020 08:00,1.9950000 ,0.4920000 ,0.0000000 ,1.503,4.7940824,0.0000000 ,0.0000000 
9,18 05 2020 09:00,3.9330000 ,0.5190000 ,0.0000000 ,3.414,8.2080824,0.0000000 ,0.0000000 
10,18 05 2020 10:00,4.0260000 ,0.2040000 ,0.0000000 ,3.822,12.0300824,0.0000000 ,0.0000000 
11,18 05 2020 11:00,9.8730000 ,0.0000000 ,0.0000000 ,9.873,12.5,0.0000000 ,0.0000000 
12,18 05 2020 12:00,9.7320000 ,0.0000000 ,0.0000000 ,9.732,12.5,0.0000000 ,0.0000000 
13,18 05 2020 13:00,3.1470000 ,0.3930000 ,0.0000000 ,2.754,12.5,0.0000000 ,0.0000000 
14,18 05 2020 14:00,4.6080000 ,0.0960000 ,0.0000000 ,4.512,12.5,0.0000000 ,0.0000000 
15,18 05 2020 15:00,5.6220000 ,0.4860000 ,0.0000000 ,5.136,12.5,0.0000000 ,0.0000000 
16,18 05 2020 16:00,2.4780000 ,2.4810000 ,0.0030000 ,0,12.497,0.0030000 ,0.0000000 
17,18 05 2020 17:00,1.0020000 ,0.7440000 ,0.0000000 ,0.258,12.5,0.0000000 ,0.0000000 
18,18 05 2020 18:00,0.2550000 ,1.0296000 ,0.7746000 ,0,11.7254,0.7746000 ,0.0000000 
19,18 05 2020 19:00,0.2160000 ,0.8514000 ,0.6354000 ,0,11.09,0.6354000 ,0.0000000 
20,18 05 2020 20:00,0.0210000 ,1.3860000 ,1.3650000 ,0,9.725,1.3650000 ,0.0000000 
21,18 05 2020 21:00,0.0240000 ,1.2630000 ,1.2390000 ,0,8.486,1.2390000 ,0.0000000 
22,18 05 2020 22:00,0.0090000 ,0.8670000 ,0.8580000 ,0,7.628,0.8580000 ,0.0000000 
23,18 05 2020 23:00,0.0000000 ,1.0650000 ,1.0650000 ,0,6.563,1.0650000 ,0.0000000 
0,19 05 2020 00:00,0.0000000 ,0.4259574 ,0.4259574 ,0,6.1370426,0.4259574 ,0.0000000 
1,19 05 2020 01:00,0.0000000 ,0.2279772 ,0.2279772 ,0,5.9090654,0.2279772 ,0.0000000 
2,19 05 2020 02:00,0.0000000 ,0.3239676 ,0.3239676 ,0,5.5850978,0.3239676 ,0.0000000 
3,19 05 2020 03:00,0.0000000 ,0.2160000 ,0.2160000 ,0,5.3690978,0.2160000 ,-0.0000000 
4,19 05 2020 04:00,0.0030000 ,0.2280000 ,0.2250000 ,0,5.1440978,0.2250000 ,0.0000000 
5,19 05 2020 05:00,0.4410000 ,0.5070000 ,0.0660000 ,0,5.0780978,0.0660000 ,0.0000000 
6,19 05 2020 06:00,1.4370000 ,0.4590000 ,0.0000000 ,0.978,6.0560978,0.0000000 ,0.0000000 
7,19 05 2020 07:00,2.2800000 ,0.3120000 ,0.0000000 ,1.968,8.0240978,0.0000000 ,0.0000000 
8,19 05 2020 08:00,5.1810000 ,0.5400000 ,0.0000000 ,4.641,12.5,0.0000000 ,0.0000000 
9,19 05 2020 09:00,7.3530000 ,1.7670000 ,0.0000000 ,5.586,12.5,0.0000000 ,0.0000000 
10,19 05 2020 10:00,8.0460000 ,0.9510000 ,0.0000000 ,7.095,12.5,0.0000000 ,0.0000000 
11,19 05 2020 11:00,8.6040000 ,0.0150000 ,0.0000000 ,8.589,12.5,0.0000000 ,0.0000000 
12,19 05 2020 12:00,8.4060000 ,0.2820000 ,0.0000000 ,8.124,12.5,0.0000000 ,0.0000000 
13,19 05 2020 13:00,7.8630000 ,0.2820000 ,0.0000000 ,7.581,12.5,0.0000000 ,0.0000000 
14,19 05 2020 14:00,6.1860000 ,1.0800000 ,0.0000000 ,5.106,12.5,0.0000000 ,0.0000000 
15,19 05 2020 15:00,4.6140000 ,0.0720000 ,0.0000000 ,4.542,12.5,0.0000000 ,0.0000000 
16,19 05 2020 16:00,2.4090000 ,0.3810000 ,0.0000000 ,2.028,12.5,0.0000000 ,0.0000000 
17,19 05 2020 17:00,0.7290000 ,0.3720000 ,0.0000000 ,0.357,12.5,0.0000000 ,0.0000000 
18,19 05 2020 18:00,0.3990000 ,0.7722000 ,0.3732000 ,0,12.1268,0.3732000 ,-0.0000000 
19,19 05 2020 19:00,0.1860000 ,0.5544000 ,0.3684000 ,0,11.7584,0.3684000 ,0.0000000 
20,19 05 2020 20:00,0.0330000 ,0.6666000 ,0.6336000 ,0,11.1248,0.6336000 ,0.0000000 
21,19 05 2020 21:00,0.0030000 ,6.2070000 ,6.2040000 ,0,4.9208,6.2040000 ,0.0000000 
22,19 05 2020 22:00,0.0030000 ,4.3290000 ,4.3260000 ,0,0.5948,4.3260000 ,0.0000000 
23,19 05 2020 23:00,0.0000000 ,0.6939306 ,0.6939306 ,0,0,0.5948000 ,0.0991306 
0,20 05 2020 00:00,0.0000000 ,0.4059594 ,0.4059594 ,0,0,0.0000000 ,0.4059594 
1,20 05 2020 01:00,0.0000000 ,0.1599840 ,0.1599840 ,0,0,0.0000000 ,0.1599840 
2,20 05 2020 02:00,0.0000000 ,0.1379862 ,0.1379862 ,0,0,0.0000000 ,0.1379862 
3,20 05 2020 03:00,0.0000000 ,0.4620000 ,0.4620000 ,0,0,0.0000000 ,0.4620000 
4,20 05 2020 04:00,0.0210000 ,0.2280000 ,0.2070000 ,0,0,0.0000000 ,0.2070000 
5,20 05 2020 05:00,0.2550000 ,0.2340000 ,0.0000000 ,0.021,0.021,0.0000000 ,0.0000000 
6,20 05 2020 06:00,0.5340000 ,0.5880000 ,0.0540000 ,0,0,0.0210000 ,0.0330000 
7,20 05 2020 07:00,1.3470000 ,0.7230000 ,0.0000000 ,0.624,0.624,0.0000000 ,0.0000000 
8,20 05 2020 08:00,2.4750000 ,0.5610000 ,0.0000000 ,1.914,2.538,0.0000000 ,0.0000000 
9,20 05 2020 09:00,7.4640000 ,1.6920000 ,0.0000000 ,5.772,8.31,0.0000000 ,0.0000000 
10,20 05 2020 10:00,7.9410000 ,1.5090000 ,0.0000000 ,6.432,12.5,0.0000000 ,0.0000000 
11,20 05 2020 11:00,8.7150000 ,1.2840000 ,0.0000000 ,7.431,12.5,0.0000000 ,0.0000000 
12,20 05 2020 12:00,8.3070000 ,7.3410000 ,0.0000000 ,0.966,12.5,0.0000000 ,0.0000000 
13,20 05 2020 13:00,7.5150000 ,0.3060000 ,0.0000000 ,7.209,12.5,0.0000000 ,0.0000000 
14,20 05 2020 14:00,6.4770000 ,1.1040000 ,0.0000000 ,5.373,12.5,0.0000000 ,0.0000000 
15,20 05 2020 15:00,4.6470000 ,1.2120000 ,0.0000000 ,3.435,12.5,0.0000000 ,0.0000000 
16,20 05 2020 16:00,2.5170000 ,1.2360000 ,0.0000000 ,1.281,12.5,0.0000000 ,0.0000000 
17,20 05 2020 17:00,0.7650000 ,1.6170000 ,0.8520000 ,0,11.648,0.8520000 ,0.0000000 
18,20 05 2020 18:00,0.4260000 ,3.0690000 ,2.6430000 ,0,9.005,2.6430000 ,0.0000000 
19,20 05 2020 19:00,0.2220000 ,1.1880000 ,0.9660000 ,0,8.039,0.9660000 ,-0.0000000 
20,20 05 2020 20:00,0.0300000 ,2.4420000 ,2.4120000 ,0,5.627,2.4120000 ,0.0000000 
21,20 05 2020 21:00,0.0000000 ,6.1590000 ,6.1590000 ,0,0,5.6270000 ,0.5320000 
22,20 05 2020 22:00,0.0000000 ,1.5930000 ,1.5930000 ,0,0,0.0000000 ,1.5930000 
23,20 05 2020 23:00,0.0000000 ,3.0136986 ,3.0136986 ,0,0,0.0000000 ,3.0136986 
0,21 05 2020 00:00,0.0000000 ,0.1619838 ,0.1619838 ,0,0,0.0000000 ,0.1619838 
1,21 05 2020 01:00,0.0000000 ,0.1239876 ,0.1239876 ,0,0,0.0000000 ,0.1239876 
2,21 05 2020 02:00,0.0000000 ,0.2145000 ,0.2145000 ,0,0,0.0000000 ,0.2145000 
3,21 05 2020 03:00,0.0000000 ,0.2010000 ,0.2010000 ,0,0,0.0000000 ,0.2010000 
4,21 05 2020 04:00,0.0090000 ,0.2310000 ,0.2220000 ,0,0,0.0000000 ,0.2220000 
5,21 05 2020 05:00,0.5490000 ,0.2400000 ,0.0000000 ,0.309,0.309,0.0000000 ,0.0000000 
6,21 05 2020 06:00,0.9390000 ,0.9900000 ,0.0510000 ,0,0.258,0.0510000 ,0.0000000 
7,21 05 2020 07:00,3.5280000 ,0.7080000 ,0.0000000 ,2.82,3.078,0.0000000 ,0.0000000 
8,21 05 2020 08:00,3.2550000 ,0.3420000 ,0.0000000 ,2.913,5.991,0.0000000 ,0.0000000 
9,21 05 2020 09:00,2.9610000 ,0.3210000 ,0.0000000 ,2.64,8.631,0.0000000 ,0.0000000 
10,21 05 2020 10:00,5.1240000 ,0.5070000 ,0.0000000 ,4.617,12.5,0.0000000 ,0.0000000 
11,21 05 2020 11:00,5.5560000 ,0.3900000 ,0.0000000 ,5.166,12.5,0.0000000 ,0.0000000 
12,21 05 2020 12:00,9.9570000 ,0.0000000 ,0.0000000 ,9.957,12.5,0.0000000 ,0.0000000 
13,21 05 2020 13:00,6.1920000 ,0.0420000 ,0.0000000 ,6.15,12.5,0.0000000 ,0.0000000 
14,21 05 2020 14:00,4.3380000 ,0.3810000 ,0.0000000 ,3.957,12.5,0.0000000 ,0.0000000 
15,21 05 2020 15:00,5.2560000 ,0.2850000 ,0.0000000 ,4.971,12.5,0.0000000 ,0.0000000 
16,21 05 2020 16:00,1.8450000 ,0.3600000 ,0.0000000 ,1.485,12.5,0.0000000 ,0.0000000 
17,21 05 2020 17:00,0.9540000 ,0.8430000 ,0.0000000 ,0.111,12.5,0.0000000 ,0.0000000 
18,21 05 2020 18:00,0.6300000 ,2.7918000 ,2.1618000 ,0,10.3382,2.1618000 ,0.0000000 
19,21 05 2020 19:00,0.2580000 ,1.6170000 ,1.3590000 ,0,8.9792,1.3590000 ,0.0000000 
20,21 05 2020 20:00,0.0270000 ,13.9854000 ,13.9584000 ,0,0,8.9792000 ,4.9792000 
21,21 05 2020 21:00,0.0030000 ,2.0580000 ,2.0550000 ,0,0,0.0000000 ,2.0550000 
22,21 05 2020 22:00,0.0180000 ,2.5140000 ,2.4960000 ,0,0,0.0000000 ,2.4960000 
23,21 05 2020 23:00,0.0000000 ,1.3498650 ,1.3498650 ,0,0,0.0000000 ,1.3498650 
0,22 05 2020 00:00,0.0000000 ,0.7419258 ,0.7419258 ,0,0,0.0000000 ,0.7419258 
1,22 05 2020 01:00,0.0000000 ,0.2020798 ,0.2020798 ,0,0,0.0000000 ,0.2020798 
2,22 05 2020 02:00,0.0000000 ,0.1359864 ,0.1359864 ,0,0,0.0000000 ,0.1359864 
3,22 05 2020 03:00,0.0000000 ,0.5040000 ,0.5040000 ,0,0,0.0000000 ,0.5040000 
4,22 05 2020 04:00,0.0090000 ,0.6180000 ,0.6090000 ,0,0,0.0000000 ,0.6090000 
5,22 05 2020 05:00,0.2610000 ,0.3780000 ,0.1170000 ,0,0,0.0000000 ,0.1170000 
6,22 05 2020 06:00,1.0320000 ,0.4380000 ,0.0000000 ,0.594,0.594,0.0000000 ,0.0000000 
7,22 05 2020 07:00,1.4940000 ,0.5190000 ,0.0000000 ,0.975,1.569,0.0000000 ,0.0000000 
8,22 05 2020 08:00,6.4530000 ,0.0510000 ,0.0000000 ,6.402,7.971,0.0000000 ,0.0000000 
9,22 05 2020 09:00,7.4070000 ,0.3990000 ,0.0000000 ,7.008,12.5,0.0000000 ,0.0000000 
10,22 05 2020 10:00,8.3340000 ,0.1860000 ,0.0000000 ,8.148,12.5,0.0000000 ,0.0000000 
11,22 05 2020 11:00,7.2630000 ,0.0840000 ,0.0000000 ,7.179,12.5,0.0000000 ,0.0000000 
12,22 05 2020 12:00,4.2420000 ,0.1020000 ,0.0000000 ,4.14,12.5,0.0000000 ,0.0000000 
13,22 05 2020 13:00,3.5730000 ,0.5580000 ,0.0000000 ,3.015,12.5,0.0000000 ,0.0000000 
14,22 05 2020 14:00,2.2770000 ,0.2160000 ,0.0000000 ,2.061,12.5,0.0000000 ,0.0000000 
15,22 05 2020 15:00,1.5060000 ,0.3780000 ,0.0000000 ,1.128,12.5,0.0000000 ,0.0000000 
16,22 05 2020 16:00,1.1340000 ,0.2790000 ,0.0000000 ,0.855,12.5,0.0000000 ,0.0000000 
17,22 05 2020 17:00,1.1550000 ,0.5940000 ,0.0000000 ,0.561,12.5,0.0000000 ,0.0000000 
18,22 05 2020 18:00,0.3030000 ,0.9306000 ,0.6276000 ,0,11.8724,0.6276000 ,0.0000000 
19,22 05 2020 19:00,0.0210000 ,0.7788000 ,0.7578000 ,0,11.1146,0.7578000 ,0.0000000 
20,22 05 2020 20:00,0.0240000 ,1.9998000 ,1.9758000 ,0,9.1388,1.9758000 ,0.0000000 
21,22 05 2020 21:00,0.0000000 ,0.7530000 ,0.7530000 ,0,8.3858,0.7530000 ,0.0000000 
22,22 05 2020 22:00,0.0090000 ,0.6030000 ,0.5940000 ,0,7.7918,0.5940000 ,0.0000000 
23,22 05 2020 23:00,0.0000000 ,0.5279472 ,0.5279472 ,0,7.2638528,0.5279472 ,0.0000000 
0,23 05 2020 00:00,0.0000000 ,0.2619738 ,0.2619738 ,0,7.001879,0.2619738 ,0.0000000 
1,23 05 2020 01:00,0.0000000 ,0.1759824 ,0.1759824 ,0,6.8258966,0.1759824 ,0.0000000 
2,23 05 2020 02:00,0.0000000 ,0.0939906 ,0.0939906 ,0,6.731906,0.0939906 ,0.0000000 
3,23 05 2020 03:00,0.0000000 ,0.2370000 ,0.2370000 ,0,6.494906,0.2370000 ,0.0000000 
4,23 05 2020 04:00,0.2910000 ,0.4110000 ,0.1200000 ,0,6.374906,0.1200000 ,-0.0000000 
