Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh),ELECTRICITY NEEDED,EXCESS SOLAR,BATTERY LEVELS,ELECTRICITY PROVIDE BY BAT,ELECTRICT BILL LESS BAT
5,3 01 2020 05:00,0.0090000 ,0.4740000 ,0.4650000 ,0,0,0.0000000 ,0.4650000 
6,3 01 2020 06:00,0.0120000 ,0.4590000 ,0.4470000 ,0,0,0.0000000 ,0.4470000 
7,3 01 2020 07:00,0.0270000 ,0.5910000 ,0.5640000 ,0,0,0.0000000 ,0.5640000 
8,3 01 2020 08:00,0.0030000 ,10.0530000 ,10.0500000 ,0,0,0.0000000 ,10.0500000 
9,3 01 2020 09:00,0.3570000 ,8.2020000 ,7.8450000 ,0,0,0.0000000 ,7.8450000 
10,3 01 2020 10:00,1.0860000 ,0.8970000 ,0.0000000 ,0.189,0.189,0.0000000 ,0.0000000 
11,3 01 2020 11:00,0.9930000 ,0.7260000 ,0.0000000 ,0.267,0.456,0.0000000 ,0.0000000 
12,3 01 2020 12:00,2.0310000 ,0.3600000 ,0.0000000 ,1.671,2.127,0.0000000 ,0.0000000 
13,3 01 2020 13:00,3.3360000 ,0.0480000 ,0.0000000 ,3.288,5.415,0.0000000 ,0.0000000 
14,3 01 2020 14:00,1.0440000 ,0.2250000 ,0.0000000 ,0.819,6.234,0.0000000 ,0.0000000 
15,3 01 2020 15:00,0.3420000 ,2.3490000 ,2.0070000 ,0,4.227,2.0070000 ,0.0000000 
16,3 01 2020 16:00,0.0330000 ,2.4390000 ,2.4060000 ,0,1.821,2.4060000 ,0.0000000 
17,3 01 2020 17:00,0.0090000 ,2.1690000 ,2.1600000 ,0,0,1.8210000 ,0.3390000 
18,3 01 2020 18:00,0.0000000 ,4.8114000 ,4.8114000 ,0,0,0.0000000 ,4.8114000 
19,3 01 2020 19:00,0.0150000 ,15.5100000 ,15.4950000 ,0,0,0.0000000 ,15.4950000 
20,3 01 2020 20:00,0.0000000 ,5.9796000 ,5.9796000 ,0,0,0.0000000 ,5.9796000 
21,3 01 2020 21:00,0.0180000 ,3.0810000 ,3.0630000 ,0,0,0.0000000 ,3.0630000 
22,3 01 2020 22:00,0.0060000 ,2.4840000 ,2.4780000 ,0,0,0.0000000 ,2.4780000 
23,3 01 2020 23:00,0.0000000 ,2.7825000 ,2.7825000 ,0,0,0.0000000 ,2.7825000 
0,4 01 2020 00:00,0.0000000 ,1.7538246 ,1.7538246 ,0,0,0.0000000 ,1.7538246 
1,4 01 2020 01:00,0.0000000 ,0.8899110 ,0.8899110 ,0,0,0.0000000 ,0.8899110 
2,4 01 2020 02:00,0.0000000 ,0.2919708 ,0.2919708 ,0,0,0.0000000 ,0.2919708 
3,4 01 2020 03:00,0.0000000 ,0.1890000 ,0.1890000 ,0,0,0.0000000 ,0.1890000 
4,4 01 2020 04:00,0.0000000 ,0.1950000 ,0.1950000 ,0,0,0.0000000 ,0.1950000 
5,4 01 2020 05:00,0.0090000 ,0.4770000 ,0.4680000 ,0,0,0.0000000 ,0.4680000 
6,4 01 2020 06:00,0.0090000 ,0.2280000 ,0.2190000 ,0,0,0.0000000 ,0.2190000 
7,4 01 2020 07:00,0.0120000 ,5.2560000 ,5.2440000 ,0,0,0.0000000 ,5.2440000 
8,4 01 2020 08:00,0.0030000 ,2.4810000 ,2.4780000 ,0,0,0.0000000 ,2.4780000 
9,4 01 2020 09:00,0.2010000 ,0.5700000 ,0.3690000 ,0,0,0.0000000 ,0.3690000 
10,4 01 2020 10:00,0.2010000 ,0.7470000 ,0.5460000 ,0,0,0.0000000 ,0.5460000 
11,4 01 2020 11:00,0.1860000 ,0.2190000 ,0.0330000 ,0,0,0.0000000 ,0.0330000 
12,4 01 2020 12:00,1.1220000 ,0.4620000 ,0.0000000 ,0.66,0.66,0.0000000 ,0.0000000 
13,4 01 2020 13:00,0.8850000 ,0.2040000 ,0.0000000 ,0.681,1.341,0.0000000 ,0.0000000 
14,4 01 2020 14:00,0.3180000 ,0.2370000 ,0.0000000 ,0.081,1.422,0.0000000 ,0.0000000 
15,4 01 2020 15:00,0.1800000 ,0.3540000 ,0.1740000 ,0,1.248,0.1740000 ,0.0000000 
16,4 01 2020 16:00,0.0330000 ,0.6090000 ,0.5760000 ,0,0.672,0.5760000 ,0.0000000 
17,4 01 2020 17:00,0.0150000 ,0.3090000 ,0.2940000 ,0,0.378,0.2940000 ,0.0000000 
18,4 01 2020 18:00,0.0030000 ,0.6798000 ,0.6768000 ,0,0,0.3780000 ,0.2988000 
19,4 01 2020 19:00,0.0030000 ,14.0184000 ,14.0154000 ,0,0,0.0000000 ,14.0154000 
20,4 01 2020 20:00,0.0060000 ,3.0822000 ,3.0762000 ,0,0,0.0000000 ,3.0762000 
21,4 01 2020 21:00,0.0030000 ,1.4640000 ,1.4610000 ,0,0,0.0000000 ,1.4610000 
22,4 01 2020 22:00,0.0000000 ,1.5180000 ,1.5180000 ,0,0,0.0000000 ,1.5180000 
23,4 01 2020 23:00,0.0000000 ,1.4910000 ,1.4910000 ,0,0,0.0000000 ,1.4910000 
0,5 01 2020 00:00,0.0000000 ,0.9819018 ,0.9819018 ,0,0,0.0000000 ,0.9819018 
1,5 01 2020 01:00,0.0000000 ,0.6599340 ,0.6599340 ,0,0,0.0000000 ,0.6599340 
2,5 01 2020 02:00,0.0000000 ,0.1319868 ,0.1319868 ,0,0,0.0000000 ,0.1319868 
3,5 01 2020 03:00,0.0000000 ,0.1890000 ,0.1890000 ,0,0,0.0000000 ,0.1890000 
4,5 01 2020 04:00,0.0000000 ,0.2010000 ,0.2010000 ,0,0,0.0000000 ,0.2010000 
5,5 01 2020 05:00,0.0060000 ,0.2220000 ,0.2160000 ,0,0,0.0000000 ,0.2160000 
6,5 01 2020 06:00,0.0090000 ,0.5880000 ,0.5790000 ,0,0,0.0000000 ,0.5790000 
7,5 01 2020 07:00,0.0150000 ,2.6430000 ,2.6280000 ,0,0,0.0000000 ,2.6280000 
8,5 01 2020 08:00,0.0030000 ,1.4610000 ,1.4580000 ,0,0,0.0000000 ,1.4580000 
9,5 01 2020 09:00,0.0060000 ,0.4650000 ,0.4590000 ,0,0,0.0000000 ,0.4590000 
10,5 01 2020 10:00,0.2910000 ,0.2430000 ,0.0000000 ,0.048,0.048,0.0000000 ,0.0000000 
11,5 01 2020 11:00,0.3720000 ,0.2340000 ,0.0000000 ,0.138,0.186,0.0000000 ,0.0000000 
12,5 01 2020 12:00,1.0050000 ,0.2040000 ,0.0000000 ,0.801,0.987,0.0000000 ,0.0000000 
13,5 01 2020 13:00,0.9210000 ,0.4560000 ,0.0000000 ,0.465,1.452,0.0000000 ,0.0000000 
14,5 01 2020 14:00,2.6160000 ,0.2550000 ,0.0000000 ,2.361,3.813,0.0000000 ,0.0000000 
15,5 01 2020 15:00,0.2880000 ,0.2340000 ,0.0000000 ,0.054,3.867,0.0000000 ,0.0000000 
16,5 01 2020 16:00,0.0390000 ,0.5610000 ,0.5220000 ,0,3.345,0.5220000 ,0.0000000 
17,5 01 2020 17:00,0.0120000 ,0.4680000 ,0.4560000 ,0,2.889,0.4560000 ,0.0000000 
18,5 01 2020 18:00,0.0090000 ,23.5224000 ,23.5134000 ,0,0,2.8890000 ,20.6244000 
19,5 01 2020 19:00,0.0060000 ,2.6730000 ,2.6670000 ,0,0,0.0000000 ,2.6670000 
20,5 01 2020 20:00,0.0060000 ,2.9172000 ,2.9112000 ,0,0,0.0000000 ,2.9112000 
21,5 01 2020 21:00,0.0000000 ,1.2660000 ,1.2660000 ,0,0,0.0000000 ,1.2660000 
22,5 01 2020 22:00,0.0180000 ,1.2360000 ,1.2180000 ,0,0,0.0000000 ,1.2180000 
23,5 01 2020 23:00,0.0000000 ,0.8919108 ,0.8919108 ,0,0,0.0000000 ,0.8919108 
0,6 01 2020 00:00,0.0000000 ,1.2870000 ,1.2870000 ,0,0,0.0000000 ,1.2870000 
1,6 01 2020 01:00,0.0000000 ,4.6690000 ,4.6690000 ,0,0,0.0000000 ,4.6690000 
2,6 01 2020 02:00,0.0000000 ,0.3099690 ,0.3099690 ,0,0,0.0000000 ,0.3099690 
3,6 01 2020 03:00,0.0000000 ,0.2010000 ,0.2010000 ,0,0,0.0000000 ,0.2010000 
4,6 01 2020 04:00,0.0000000 ,0.1950000 ,0.1950000 ,0,0,0.0000000 ,0.1950000 
5,6 01 2020 05:00,0.0000000 ,1.0170000 ,1.0170000 ,0,0,0.0000000 ,1.0170000 
6,6 01 2020 06:00,0.0000000 ,0.5790000 ,0.5790000 ,0,0,0.0000000 ,0.5790000 
7,6 01 2020 07:00,0.0120000 ,0.3330000 ,0.3210000 ,0,0,0.0000000 ,0.3210000 
8,6 01 2020 08:00,0.0030000 ,0.7200000 ,0.7170000 ,0,0,0.0000000 ,0.7170000 
9,6 01 2020 09:00,0.6840000 ,0.7980000 ,0.1140000 ,0,0,0.0000000 ,0.1140000 
10,6 01 2020 10:00,1.4070000 ,0.2910000 ,0.0000000 ,1.116,1.116,0.0000000 ,0.0000000 
11,6 01 2020 11:00,1.4940000 ,0.9060000 ,0.0000000 ,0.588,1.704,0.0000000 ,0.0000000 
12,6 01 2020 12:00,1.8540000 ,0.6270000 ,0.0000000 ,1.227,2.931,0.0000000 ,0.0000000 
13,6 01 2020 13:00,1.3800000 ,0.9000000 ,0.0000000 ,0.48,3.411,0.0000000 ,0.0000000 
14,6 01 2020 14:00,0.4650000 ,0.9090000 ,0.4440000 ,0,2.967,0.4440000 ,0.0000000 
15,6 01 2020 15:00,0.3420000 ,0.2580000 ,0.0000000 ,0.084,3.051,0.0000000 ,0.0000000 
16,6 01 2020 16:00,0.0360000 ,0.2640000 ,0.2280000 ,0,2.823,0.2280000 ,0.0000000 
17,6 01 2020 17:00,0.0060000 ,0.4890000 ,0.4830000 ,0,2.34,0.4830000 ,0.0000000 
18,6 01 2020 18:00,0.0000000 ,1.3134000 ,1.3134000 ,0,1.0266,1.3134000 ,0.0000000 
19,6 01 2020 19:00,0.0060000 ,22.4070000 ,22.4010000 ,0,0,1.0266000 ,21.3744000 
20,6 01 2020 20:00,0.0030000 ,4.6134000 ,4.6104000 ,0,0,0.0000000 ,4.6104000 
21,6 01 2020 21:00,0.0180000 ,1.9710000 ,1.9530000 ,0,0,0.0000000 ,1.9530000 
22,6 01 2020 22:00,0.0120000 ,2.0610000 ,2.0490000 ,0,0,0.0000000 ,2.0490000 
23,6 01 2020 23:00,0.0000000 ,1.1698830 ,1.1698830 ,0,0,0.0000000 ,1.1698830 
0,7 01 2020 00:00,0.0000000 ,0.9859014 ,0.9859014 ,0,0,0.0000000 ,0.9859014 
1,7 01 2020 01:00,0.0000000 ,0.8159184 ,0.8159184 ,0,0,0.0000000 ,0.8159184 
2,7 01 2020 02:00,0.0000000 ,0.9119088 ,0.9119088 ,0,0,0.0000000 ,0.9119088 
3,7 01 2020 03:00,0.0000000 ,1.6380000 ,1.6380000 ,0,0,0.0000000 ,1.6380000 
4,7 01 2020 04:00,0.0000000 ,0.2190000 ,0.2190000 ,0,0,0.0000000 ,0.2190000 
5,7 01 2020 05:00,0.0060000 ,0.2520000 ,0.2460000 ,0,0,0.0000000 ,0.2460000 
6,7 01 2020 06:00,0.0180000 ,0.2670000 ,0.2490000 ,0,0,0.0000000 ,0.2490000 
7,7 01 2020 07:00,0.0180000 ,0.2460000 ,0.2280000 ,0,0,0.0000000 ,0.2280000 
8,7 01 2020 08:00,0.0030000 ,0.7680000 ,0.7650000 ,0,0,0.0000000 ,0.7650000 
9,7 01 2020 09:00,0.6030000 ,0.9570000 ,0.3540000 ,0,0,0.0000000 ,0.3540000 
10,7 01 2020 10:00,0.9600000 ,0.5670000 ,0.0000000 ,0.393,0.393,0.0000000 ,0.0000000 
11,7 01 2020 11:00,2.4540000 ,0.5220000 ,0.0000000 ,1.932,2.325,0.0000000 ,0.0000000 
12,7 01 2020 12:00,5.0010000 ,0.4380000 ,0.0000000 ,4.563,6.888,0.0000000 ,0.0000000 
13,7 01 2020 13:00,3.9690000 ,0.0120000 ,0.0000000 ,3.957,10.845,0.0000000 ,0.0000000 
14,7 01 2020 14:00,2.8410000 ,26.4540000 ,23.6130000 ,0,0,10.8450000 ,12.7680000 
15,7 01 2020 15:00,0.2640000 ,1.6590000 ,1.3950000 ,0,0,0.0000000 ,1.3950000 
16,7 01 2020 16:00,0.0480000 ,1.9650000 ,1.9170000 ,0,0,0.0000000 ,1.9170000 
17,7 01 2020 17:00,0.0090000 ,2.5080000 ,2.4990000 ,0,0,0.0000000 ,2.4990000 
18,7 01 2020 18:00,0.0120000 ,13.8732000 ,13.8612000 ,0,0,0.0000000 ,13.8612000 
